Feature,Importance
logErrorBalanceOrig,0.7047779667195364
newbalanceOrig,0.25548899242931083
errorBalanceDest,0.023686851336186542
logErrorBalanceDest,0.009485604810413387
logBalanceDiffOrig,0.001761044560845041
errorBalanceOrig,0.0015744026589521098
step,0.0008238211894257173
oldbalanceOrg,0.000776332774392395
oldbalanceDest,0.00038930447114734486
balanceDiffDest,0.00031394656894856806
newbalanceDest,0.0002896175339908452
logBalanceDiffDest,0.000221238860938405
hourOfDay,0.00020248458297595962
balanceDiffOrig,0.00016138696242053822
amount,4.700454051584624e-05
isHighAmount,0.0
logAmount,0.0
isHighRiskType,0.0
isZeroBalanceAfterTransaction,0.0
type_CASH_IN,0.0
type_CASH_OUT,0.0
type_DEBIT,0.0
type_PAYMENT,0.0
type_TRANSFER,0.0
